id,issuer_id,notional,recovery,currency,description,issuer,,,,,,,,,,,
BSD7SC3C3,62,2550000,0.4,USD,NORDRHEIN-WESTFALEN LAND OF NONDMUNI 0.2 27-JAN-2051 Reg-S,NORDRHEIN-WESTFALEN LAND OF NONDMUNI ,,,,,,,,,,,
BSD38ZTN1,63,1100000,0.4,USD,NRW BANK NONDMUNI 1.25 21-MAR-2044,NRW BANK NONDMUNI ,,,,,,,,,,,
BSD4A4UY9,64,1600000,0.4,USD,ORANGE SA 1.375 04-SEP-2049 Reg-S (SENIOR),ORANGE SA ,,,,,,,,,,,
717081FA6,65,943000,0.4,USD,PFIZER INC 2.7 28-MAY-2050 (SENIOR),PFIZER INC ,,,,,,,,,,,
BSDHP9NP0,66,348000,0.4,USD,PFIZER NETHERLANDS INTERNATIONAL F 4.25 19-MAY-2045 (SENIOR),PFIZER NETHERLANDS INTERNATIONAL F ,,,,,,,,,,,
BSD2ETSH4,67,955000,0.4,USD,PROCTER & GAMBLE CO 1.875 30-OCT-2038 (SENIOR),PROCTER & GAMBLE CO ,,,,,,,,,,,
BSD9RETV6,67,970000,0.4,USD,PROCTER & GAMBLE CO 0.9 04-NOV-2041 (SENIOR),PROCTER & GAMBLE CO ,,,,,,,,,,,
BSDGBNZK4,68,1900000,0.4,USD,PROLOGIS INTERNATIONAL FUNDING II 3.7 07-OCT-2034 Reg-S (SENIOR),PROLOGIS INTERNATIONAL FUNDING II ,,,,,,,,,,,
74432QCF0,69,1102000,0.4,USD,PRUDENTIAL FINANCIAL INC 3.7 13-MAR-2051 (SENIOR),PRUDENTIAL FINANCIAL INC ,,,,,,,,,,,
21685WCJ4,70,894000,0.4,USD,RABOBANK NEDERLAND 5.25 24-MAY-2041 (SENIOR),RABOBANK NEDERLAND ,,,,,,,,,,,
BRSE8QCX9,71,900000,0.4,USD,RESEAU FERRE DE FRANCE 4.125 22-MAR-2062 Reg-S,RESEAU FERRE DE FRANCE ,,,,,,,,,,,
78409VAR5,72,3055000,0.4,USD,S&P GLOBAL INC 2.3 15-AUG-2060 (SENIOR),S&P GLOBAL INC ,,,,,,,,,,,
BSD9G9CU9,73,1694000,0.4,USD,SEGRO CAPITAL SARL 0.5 22-SEP-2031 Reg-S (SENIOR),SEGRO CAPITAL SARL ,,,,,,,,,,,
822905AE5,74,1069000,0.4,USD,SHELL FINANCE US INC 4.0 10-MAY-2046 (SENIOR),SHELL FINANCE US INC ,,,,,,,,,,,
82620KAT0,75,965000,0.4,USD,SIEMENS FINANCIERINGSMAATSCHAPPIJ 4.2 16-MAR-2047 144a (SENIOR),SIEMENS FINANCIERINGSMAATSCHAPPIJ ,,,,,,,,,,,
BSDHVFCC0,75,200000,0.4,USD,SIEMENS FINANCIERINGSMAATSCHAPPIJ 4.0 27-MAY-2045 Reg-S (SENIOR),SIEMENS FINANCIERINGSMAATSCHAPPIJ ,,,,,,,,,,,
BSD0T3UM5,76,500000,0.4,USD,SNCF RESEAU NONDMUNI 2.25 20-DEC-2047 Reg-S,SNCF RESEAU NONDMUNI ,,,,,,,,,,,
BSD7PH4V2,77,1900000,0.4,USD,SOCIETE NATIONALE SNCF SA NONDMUNI 1.0 19-JAN-2061 Reg-S,SOCIETE NATIONALE SNCF SA NONDMUNI ,,,,,,,,,,,
87612EBG0,78,1259000,0.4,USD,TARGET CORPORATION 3.9 15-NOV-2047 (SENIOR),TARGET CORPORATION ,,,,,,,,,,,
BRW6JRZG9,79,900000,0.4,USD,TELEFONICA EMISIONES SAU 1.864 13-JUL-2040 Reg-S (SENIOR),TELEFONICA EMISIONES SAU ,,,,,,,,,,,
BSD3WBWV5,79,580000,0.4,USD,TELEFONICA EMISIONES SAU 1.957 01-JUL-2039 Reg-S (SENIOR),TELEFONICA EMISIONES SAU ,,,,,,,,,,,
BSD3NFSJ8,80,570000,0.4,USD,TENNET HOLDING BV 1.5 03-JUN-2039 Reg-S (SENIOR),TENNET HOLDING BV ,,,,,,,,,,,
BSD7B6TZ5,80,1375000,0.4,USD,TENNET HOLDING BV 0.5 30-NOV-2040 Reg-S (SENIOR),TENNET HOLDING BV ,,,,,,,,,,,
BSD9SHEG7,80,415000,0.4,USD,TENNET HOLDING BV 0.875 16-JUN-2035 Reg-S (SENIOR),TENNET HOLDING BV ,,,,,,,,,,,
BSD6KDN54,81,640000,0.4,USD,TERNA RETE ELETTRICA NAZIONALE SPA 0.75 24-JUL-2032 Reg-S (SENIOR),TERNA RETE ELETTRICA NAZIONALE SPA ,,,,,,,,,,,
BSD4FKXA7,82,600000,0.4,USD,THERMO FISHER SCIENTIFIC INC 1.875 01-OCT-2049 (SENIOR),THERMO FISHER SCIENTIFIC,,,,,,,,,,,
BSD9LVM41,82,2234000,0.4,USD,THERMO FISHER SCIENTIFIC (FINANCE 2.0 18-OCT-2051 (SENIOR),THERMO FISHER SCIENTIFIC,,,,,,,,,,,
89153VAW9,83,1460000,0.4,USD,TOTAL CAPITAL INTERNATIONAL SA 3.386 29-JUN-2060 (SENIOR),TOTAL CAPITAL INTERNATIONAL SA ,,,,,,,,,,,
BSD61L9A2,83,900000,0.4,USD,TOTAL CAPITAL INTERNATIONAL SA 1.618 18-MAY-2040 Reg-S (SENIOR),TOTAL CAPITAL INTERNATIONAL SA ,,,,,,,,,,,
89417EAL3,84,1336000,0.4,USD,TRAVELERS COMPANIES INC 3.75 15-MAY-2046 (SENIOR),TRAVELERS COMPANIES INC ,,,,,,,,,,,
902674A26,85,1165000,0.4,USD,UBS AG (LONDON BRANCH) 4.5 26-JUN-2048,UBS AG (LONDON BRANCH) ,,,,,,,,,,,
907818ER5,86,1324000,0.4,USD,UNION PACIFIC CORPORATION 4.1 15-SEP-2067 (SENIOR),UNION PACIFIC CORPORATION ,,,,,,,,,,,
91324PEA6,87,2496000,0.4,USD,UNITEDHEALTH GROUP INC 3.125 15-MAY-2060 (SENIOR),UNITEDHEALTH GROUP INC ,,,,,,,,,,,
BSD60JYT9,89,600000,0.4,USD,VEOLIA ENVIRONNEMENT SA 1.25 14-MAY-2035 Reg-S (SENIOR),VEOLIA ENVIRONNEMENT SA ,,,,,,,,,,,
92343VFD1,90,100000,0.4,USD,VERIZON COMMUNICATIONS INC 4.0 22-MAR-2050 (SENIOR),VERIZON COMMUNICATIONS INC ,,,,,,,,,,,
92343VFK5,90,2132000,0.4,USD,VERIZON COMMUNICATIONS INC 1.85 18-MAY-2040 (SENIOR),VERIZON COMMUNICATIONS INC ,,,,,,,,,,,
92826CAQ5,91,2178000,0.4,USD,VISA INC 2.0 15-AUG-2050 (SENIOR),VISA INC ,,,,,,,,,,,
931142EC3,92,1221000,0.4,USD,WALMART INC 4.05 29-JUN-2048 (SENIOR),WALMART INC ,,,,,,,,,,,
254687FZ4,93,1661000,0.4,USD,WALT DISNEY CO 3.6 13-JAN-2051 (SENIOR),WALT DISNEY CO ,,,,,,,,,,,
BSD3T2G05,94,570000,0.4,USD,ZURICH FINANCE (IRELAND) DAC 1.625 17-JUN-2039 Reg-S (SENIOR),ZURICH FINANCE (IRELAND) DAC ,,,,,,,,,,,
